,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,Language,Q_RecaptchaScore,Q1,Q48,Q17,Q18,Q19,Q20,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q45,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q86,Q87,Q88,Q89,Q90,Q91,Q92,Q93,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,Q102,Q103,Q104,Q105,Q106,Q107,Q108,Q109,Q110,Q111,Q112,Q83,Q85,Q86,Q87,Q88,Q88_2_TEXT,Q88_3_TEXT,Q88_4_TEXT,Q4,Q6,Q5,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,SC0,SC1,SC2,SC3,SC4,SC5
Participant 49,10/26/2022 15:10:58,10/26/2022 15:17:54,IP Address,100,416,TRUE,10/26/2022 15:17:55,R_2Xoi2gusP2YteaL,anonymous,EN,1,"I consent, begin the study",2- Sometimes,3- Often,3- Often,3- Often,4- Usually,2- Sometimes,4- Usually,2- Sometimes,3- Often,4- Usually,4- Usually,2- Sometimes,4- Usually,1- Almost never,3- Often,3- Often,4- Usually,3- Often,2- Sometimes,3- Often,Severe stress,Mild stress,Moderate stress,None,Severe stress,Moderate stress,Moderate stress,E- describes me very well,D,B,E- describes me very well,E- describes me very well,B,A- does not describe me well,D,E- describes me very well,E- describes me very well,D,A- does not describe me well,C,B,B,D,B,A- does not describe me well,E- describes me very well,E- describes me very well,D,E- describes me very well,E- describes me very well,B,D,E- describes me very well,B,C,"Yes, 3x per month or less",No,"Yes, 3+ times per week",No,"Yes, 1-2 times per week",,"Knitting, reading, spending time with my pets and my partner",,Current first year,20-24,"NSGC region 6: AK,CA,HI,ID,NV,OR,WA, British Columbia, Yukon",White,No,Female,Bisexual,In a romantic relationship,No,Yes,No,No,65,79,25,22,20,10
Participant 50,10/26/2022 15:11:02,10/26/2022 15:18:24,IP Address,100,442,TRUE,10/26/2022 15:18:24,R_3j0bok7b0gdT5vm,anonymous,EN,1,"I consent, begin the study",2- Sometimes,2- Sometimes,4- Usually,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,3- Often,2- Sometimes,3- Often,3- Often,4- Usually,2- Sometimes,4- Usually,3- Often,1- Almost never,2- Sometimes,4- Usually,Moderate stress,Mild stress,Mild stress,None,Severe stress,None,None,D,E- describes me very well,A- does not describe me well,A- does not describe me well,C,C,C,E- describes me very well,E- describes me very well,C,D,B,C,B,B,B,B,A- does not describe me well,D,D,E- describes me very well,D,D,B,D,D,A- does not describe me well,E- describes me very well,"Yes, 1-2 times per week",No,"Yes, 3+ times per week",No,"Yes, 3+ times per week",,,,Current first year,20-24,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",White,No,Male,Straight or Heterosexual,Single (never married),No,Yes,No,"Yes, less than 10 hours a week",49,76,19,25,22,9
Participant 51,10/26/2022 15:19:38,10/26/2022 15:25:18,IP Address,100,340,TRUE,10/26/2022 15:25:19,R_3dWdFBZXarOQgJT,anonymous,EN,1,"I consent, begin the study",2- Sometimes,2- Sometimes,3- Often,3- Often,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,4- Usually,3- Often,3- Often,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,Mild stress,None,Mild stress,None,Mild Stress,Moderate stress,Mild stress,B,D,B,B,E- describes me very well,B,B,C,E- describes me very well,B,D,A- does not describe me well,C,B,B,C,B,B,D,E- describes me very well,C,D,D,B,D,D,B,D,"Yes, 3x per month or less",No,"Yes, 1-2 times per week",No,No,,,,Current second year,25-29,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,"Yes, less than 10 hours a week",48,70,20,23,19,8
Participant 52,10/26/2022 15:18:34,10/26/2022 15:27:39,IP Address,100,544,TRUE,10/26/2022 15:27:39,R_Rt10ZAkIgn9z2Zr,anonymous,EN,1,"I consent, begin the study",2- Sometimes,3- Often,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,1- Almost never,4- Usually,2- Sometimes,4- Usually,3- Often,4- Usually,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,Moderate stress,Mild stress,Moderate stress,Moderate stress,Moderate stress,None,None,B,D,A- does not describe me well,B,C,D,B,C,D,D,D,B,C,C,D,D,D,A- does not describe me well,B,D,D,D,D,B,C,D,B,D,"Yes, 1-2 times per week",No,"Yes, 3+ times per week","Yes, 1-2 times per week","Yes, 3x per month or less",Video games,,,Current second year,25-29,"NSGC region 6: AK,CA,HI,ID,NV,OR,WA, British Columbia, Yukon",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,No,Yes,"Yes, less than 10 hours a week",59,73,16,21,18,16
Participant 53,10/26/2022 15:15:21,10/26/2022 15:28:26,IP Address,100,784,TRUE,10/26/2022 15:28:26,R_1BVKnOHVK7Tnqqi,anonymous,EN,1,"I consent, begin the study",2- Sometimes,3- Often,4- Usually,4- Usually,3- Often,3- Often,3- Often,2- Sometimes,2- Sometimes,1- Almost never,2- Sometimes,4- Usually,4- Usually,3- Often,4- Usually,3- Often,3- Often,1- Almost never,3- Often,2- Sometimes,Moderate stress,None,None,None,Mild Stress,None,None,C,D,B,C,A- does not describe me well,B,D,E- describes me very well,E- describes me very well,E- describes me very well,E- describes me very well,D,C,B,A- does not describe me well,A- does not describe me well,D,B,C,B,C,B,C,B,E- describes me very well,B,A- does not describe me well,E- describes me very well,"Yes, 3+ times per week",No,"Yes, 1-2 times per week",No,No,,,,Current second year,20-24,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",White,No,Female,Straight or Heterosexual,Single (never married),No,Yes,No,"Yes, less than 10 hours a week",48,62,11,17,22,13
Participant 54,10/26/2022 15:18:00,10/26/2022 15:33:13,IP Address,100,913,TRUE,10/26/2022 15:33:13,R_2aXf7e0GT1hEMWN,anonymous,EN,0.899999976,"I consent, begin the study",2- Sometimes,1- Almost never,4- Usually,3- Often,1- Almost never,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,4- Usually,4- Usually,4- Usually,2- Sometimes,4- Usually,3- Often,1- Almost never,3- Often,3- Often,None,Mild stress,Moderate stress,Mild stress,Mild Stress,None,None,D,D,B,A- does not describe me well,D,E- describes me very well,A- does not describe me well,E- describes me very well,E- describes me very well,B,D,A- does not describe me well,D,B,C,D,B,A- does not describe me well,D,E- describes me very well,C,D,D,A- does not describe me well,C,E- describes me very well,A- does not describe me well,C,"Yes, 3+ times per week",No,"Yes, 3+ times per week",No,"Yes, 3+ times per week",,,"Cooking, video games",Current first year,20-24,"NSGC region 6: AK,CA,HI,ID,NV,OR,WA, British Columbia, Yukon",Asian,No,Male,Straight or Heterosexual,Single (never married),No,Yes,No,No,43,75,22,25,18,8
Participant 55,10/26/2022 15:29:25,10/26/2022 15:35:12,IP Address,100,347,TRUE,10/26/2022 15:35:12,R_2waa7Eu7LfpCcfS,anonymous,EN,1,"I consent, begin the study",2- Sometimes,4- Usually,4- Usually,2- Sometimes,4- Usually,1- Almost never,2- Sometimes,1- Almost never,4- Usually,4- Usually,4- Usually,3- Often,1- Almost never,2- Sometimes,4- Usually,2- Sometimes,4- Usually,4- Usually,1- Almost never,4- Usually,Moderate stress,Mild stress,None,None,Severe stress,None,None,E- describes me very well,B,C,B,D,D,C,D,D,E- describes me very well,C,D,B,B,D,B,D,B,C,C,C,D,C,D,B,B,B,B,"Yes, 3x per month or less","Yes, 1x per month or less","Yes, 3+ times per week",No,No,,,,Current second year,25-29,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",White,No,Female,Straight or Heterosexual,Single (never married),No,No,No,No,69,63,16,18,12,19
Participant 56,10/26/2022 15:26:58,10/26/2022 15:35:13,IP Address,100,495,TRUE,10/26/2022 15:35:14,R_XprpgwjBRtt7fY5,anonymous,EN,1,"I consent, begin the study",2- Sometimes,2- Sometimes,2- Sometimes,3- Often,3- Often,2- Sometimes,3- Often,2- Sometimes,3- Often,3- Often,3- Often,3- Often,4- Usually,3- Often,4- Usually,3- Often,4- Usually,2- Sometimes,2- Sometimes,4- Usually,Severe stress,Severe stress,Severe stress,Mild stress,Moderate stress,None,None,C,E- describes me very well,B,A- does not describe me well,B,C,D,E- describes me very well,E- describes me very well,E- describes me very well,E- describes me very well,D,C,A- does not describe me well,B,A- does not describe me well,B,A- does not describe me well,C,E- describes me very well,C,C,C,B,B,D,A- does not describe me well,E- describes me very well,"Yes, 3x per month or less",No,"Yes, 1-2 times per week",No,"Yes, 1-2 times per week",,Cooking/baking,,Current first year,25-29,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",White,No,Female,Straight or Heterosexual,Single (never married),No,Yes,No,No,57,69,14,26,18,12
Participant 57,10/26/2022 14:57:45,10/26/2022 15:40:06,IP Address,100,2541,TRUE,10/26/2022 15:40:07,R_OMNS48WWPDlb5Yd,anonymous,EN,1,"I consent, begin the study",2- Sometimes,1- Almost never,2- Sometimes,3- Often,1- Almost never,3- Often,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,4- Usually,2- Sometimes,3- Often,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,Mild stress,Mild stress,None,None,Moderate stress,None,None,B,D,A- does not describe me well,A- does not describe me well,E- describes me very well,C,D,E- describes me very well,E- describes me very well,C,C,A- does not describe me well,D,A- does not describe me well,A- does not describe me well,A- does not describe me well,C,A- does not describe me well,D,D,D,E- describes me very well,C,B,C,D,B,D,No,No,"Yes, 1-2 times per week",No,"Yes, 3+ times per week",,,Reading,Current first year,20-24,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",White,No,Female,Straight or Heterosexual,Single (never married),No,Yes,No,"Yes, less than 10 hours a week",39,73,19,26,22,10
Participant 58,10/26/2022 15:42:42,10/26/2022 15:48:37,IP Address,100,355,TRUE,10/26/2022 15:48:38,R_1pAsiTxeeVh4TQc,anonymous,EN,1,"I consent, begin the study",2- Sometimes,2- Sometimes,3- Often,4- Usually,1- Almost never,2- Sometimes,2- Sometimes,3- Often,3- Often,2- Sometimes,3- Often,4- Usually,2- Sometimes,3- Often,1- Almost never,2- Sometimes,4- Usually,4- Usually,1- Almost never,4- Usually,Mild stress,Mild stress,None,None,Mild Stress,None,Moderate stress,D,C,B,B,C,C,B,E- describes me very well,E- describes me very well,D,D,B,B,B,B,B,C,B,C,D,D,E- describes me very well,C,C,D,D,C,D,"Yes, 3+ times per week",No,"Yes, 3x per month or less",No,No,,,,Current second year,20-24,"NSGC region 1: CT,MA, ME,NH, RI, VT, CN Maritime Provinces",White,No,Female,Bisexual,In a romantic relationship,No,No,No,"Yes, 20-30 hours a week",50,77,19,22,22,16
Participant 59,10/26/2022 15:47:18,10/26/2022 16:06:44,IP Address,100,1166,TRUE,10/26/2022 16:06:45,R_BVRtz9jHXAjTDjj,anonymous,EN,1,"I consent, begin the study",3- Often,3- Often,3- Often,4- Usually,1- Almost never,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,4- Usually,4- Usually,2- Sometimes,3- Often,1- Almost never,3- Often,2- Sometimes,2- Sometimes,1- Almost never,2- Sometimes,Mild stress,Mild stress,Mild stress,Moderate stress,Moderate stress,None,None,D,C,B,B,D,B,B,D,C,D,B,A- does not describe me well,E- describes me very well,D,B,D,B,C,D,C,E- describes me very well,D,D,A- does not describe me well,B,E- describes me very well,A- does not describe me well,C,"Yes, 3x per month or less",No,"Yes, 1-2 times per week",No,No,,,,Current second year,20-24,"NSGC region 6: AK,CA,HI,ID,NV,OR,WA, British Columbia, Yukon",White,No,Female,Straight or Heterosexual,Married,No,Yes,No,"Yes, less than 10 hours a week",43,61,21,15,17,6
Participant 60,10/26/2022 15:33:08,10/26/2022 16:09:06,IP Address,100,2157,TRUE,10/26/2022 16:09:06,R_3rMcaCmEgcW4ghn,anonymous,EN,1,"I consent, begin the study",1- Almost never,4- Usually,4- Usually,3- Often,3- Often,3- Often,4- Usually,3- Often,3- Often,3- Often,4- Usually,3- Often,4- Usually,4- Usually,3- Often,3- Often,4- Usually,3- Often,1- Almost never,4- Usually,Mild stress,Severe stress,Mild stress,Mild stress,Severe stress,Moderate stress,None,D,E- describes me very well,A- does not describe me well,A- does not describe me well,E- describes me very well,A- does not describe me well,B,D,E- describes me very well,B,E- describes me very well,A- does not describe me well,D,A- does not describe me well,B,E- describes me very well,B,A- does not describe me well,E- describes me very well,E- describes me very well,D,E- describes me very well,D,A- does not describe me well,D,E- describes me very well,A- does not describe me well,E- describes me very well,"Yes, 1-2 times per week",No,"Yes, 1-2 times per week",No,"Yes, 1-2 times per week",,"Crafting, date night, baking",,Current second year,25-29,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario","Hispanic or Latino,White",No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,No,62,80,21,28,21,3
Participant 61,10/26/2022 16:03:53,10/26/2022 16:14:49,IP Address,100,655,TRUE,10/26/2022 16:14:49,R_3oXYjFLsq1fFhmn,anonymous,EN,1,"I consent, begin the study",1- Almost never,4- Usually,4- Usually,2- Sometimes,4- Usually,2- Sometimes,3- Often,1- Almost never,4- Usually,4- Usually,4- Usually,4- Usually,4- Usually,2- Sometimes,2- Sometimes,3- Often,4- Usually,4- Usually,1- Almost never,4- Usually,Mild stress,Severe stress,None,Mild stress,Severe stress,None,None,D,E- describes me very well,B,A- does not describe me well,D,C,A- does not describe me well,D,E- describes me very well,C,D,A- does not describe me well,C,A- does not describe me well,D,E- describes me very well,B,A- does not describe me well,D,E- describes me very well,D,D,E- describes me very well,B,D,E- describes me very well,B,C,"Yes, 3x per month or less",No,"Yes, 1-2 times per week",No,No,,,,Current second year,25-29,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",White,No,Female,Straight or Heterosexual,Single (never married),No,Yes,No,"Yes, less than 10 hours a week",69,81,22,27,18,10
Participant 62,10/26/2022 16:11:57,10/26/2022 16:17:19,IP Address,100,321,TRUE,10/26/2022 16:17:20,R_bvkK6RWJZOOwmmR,anonymous,EN,1,"I consent, begin the study",2- Sometimes,1- Almost never,1- Almost never,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,1- Almost never,3- Often,2- Sometimes,3- Often,2- Sometimes,4- Usually,2- Sometimes,4- Usually,2- Sometimes,4- Usually,4- Usually,2- Sometimes,3- Often,Mild stress,Moderate stress,Mild stress,None,Severe stress,None,None,E- describes me very well,D,B,B,E- describes me very well,D,A- does not describe me well,D,D,E- describes me very well,D,A- does not describe me well,D,B,D,E- describes me very well,D,B,D,A- does not describe me well,D,B,E- describes me very well,B,B,E- describes me very well,B,D,"Yes, 3x per month or less",No,"Yes, 3x per month or less",No,"Yes, 3+ times per week",,,Reading,Current first year,20-24,"NSGC region 5: AZ, CO, MT, NM, TX, UT, WY, Alberta, Manitoba, Sask","Hispanic or Latino,White",No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,No,59,75,24,16,17,14
Participant 63,10/26/2022 13:24:32,10/26/2022 16:22:17,IP Address,100,10665,TRUE,10/26/2022 16:22:18,R_tLjRLc7RrzRk2AN,anonymous,EN,1,"I consent, begin the study",2- Sometimes,2- Sometimes,3- Often,3- Often,1- Almost never,2- Sometimes,3- Often,2- Sometimes,4- Usually,4- Usually,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,3- Often,2- Sometimes,3- Often,Mild stress,None,None,Severe stress,Severe stress,Severe stress,None,C,E- describes me very well,B,C,D,E- describes me very well,D,D,E- describes me very well,A- does not describe me well,E- describes me very well,A- does not describe me well,B,D,D,B,D,A- does not describe me well,B,E- describes me very well,E- describes me very well,A- does not describe me well,B,D,D,E- describes me very well,D,D,"Yes, 3x per month or less",No,"Yes, 3+ times per week","Yes, 3+ times per week","Yes, 3+ times per week",,,"Reading, music, drawing, chatting with friends and family ",Current first year,20-24,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",White,No,Female,Straight or Heterosexual,Single (never married),No,No,No,"Yes, less than 10 hours a week",56,75,18,19,21,19
Participant 64,10/26/2022 16:24:58,10/26/2022 16:34:04,IP Address,100,545,TRUE,10/26/2022 16:34:05,R_UosS9srBEqp8pzj,anonymous,EN,1,"I consent, begin the study",2- Sometimes,2- Sometimes,2- Sometimes,3- Often,1- Almost never,3- Often,2- Sometimes,2- Sometimes,1- Almost never,1- Almost never,2- Sometimes,4- Usually,2- Sometimes,4- Usually,2- Sometimes,3- Often,2- Sometimes,1- Almost never,2- Sometimes,3- Often,Mild stress,Mild stress,None,Mild stress,Moderate stress,None,Mild stress,C,B,C,B,A- does not describe me well,D,E- describes me very well,D,D,E- describes me very well,E- describes me very well,E- describes me very well,B,C,A- does not describe me well,B,C,A- does not describe me well,D,C,D,D,A- does not describe me well,B,D,C,A- does not describe me well,C,"Yes, 1-2 times per week",No,"Yes, 1-2 times per week",No,No,,,,Current first year,20-24,"NSGC region 6: AK,CA,HI,ID,NV,OR,WA, British Columbia, Yukon",White,No,Female,Straight or Heterosexual,Single (never married),No,Yes,No,No,38,58,7,18,21,14
Participant 65,10/26/2022 16:29:39,10/26/2022 16:35:32,IP Address,100,353,TRUE,10/26/2022 16:35:32,R_2trHaKoZdQLKTeH,anonymous,EN,0.699999988,"I consent, begin the study",2- Sometimes,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,1- Almost never,2- Sometimes,1- Almost never,3- Often,1- Almost never,3- Often,3- Often,3- Often,2- Sometimes,2- Sometimes,1- Almost never,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,Moderate stress,Mild stress,None,None,Moderate stress,None,None,B,E- describes me very well,B,B,B,D,B,E- describes me very well,D,D,C,C,B,B,B,D,D,B,B,D,D,D,C,B,C,C,C,D,"Yes, 1-2 times per week",No,"Yes, 1-2 times per week",No,No,,,,Current first year,25-29,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",White,No,Female,Straight or Heterosexual,Single (never married),No,Yes,No,"Yes, 10-20 hours a week",51,74,12,22,20,18
Participant 66,10/26/2022 16:08:51,10/26/2022 16:35:53,IP Address,100,1621,TRUE,10/26/2022 16:35:54,R_2vjj6N8Qteb7ikb,anonymous,EN,0.800000012,"I consent, begin the study",3- Often,4- Usually,4- Usually,2- Sometimes,4- Usually,3- Often,3- Often,2- Sometimes,3- Often,2- Sometimes,4- Usually,4- Usually,4- Usually,2- Sometimes,3- Often,3- Often,3- Often,3- Often,2- Sometimes,4- Usually,Moderate stress,Moderate stress,Mild stress,Moderate stress,Moderate stress,Mild stress,None,B,D,A- does not describe me well,B,B,B,C,D,E- describes me very well,C,D,D,B,B,B,C,D,B,D,D,D,D,C,A- does not describe me well,D,D,A- does not describe me well,C,No,No,"Yes, 3x per month or less",No,"Yes, 3x per month or less","cooking, trying a new recipe",,,Current second year,30-34,"NSGC region 6: AK,CA,HI,ID,NV,OR,WA, British Columbia, Yukon","Hispanic or Latino,White",No,Female,Straight or Heterosexual,In a romantic relationship,No,No,No,No,60,65,12,22,21,10
Participant 67,10/26/2022 16:32:35,10/26/2022 16:39:59,IP Address,100,444,TRUE,10/26/2022 16:39:59,R_86vonRL5xNfoj9T,anonymous,EN,1,"I consent, begin the study",1- Almost never,4- Usually,4- Usually,2- Sometimes,1- Almost never,2- Sometimes,3- Often,1- Almost never,4- Usually,4- Usually,4- Usually,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,3- Often,4- Usually,4- Usually,1- Almost never,4- Usually,Mild stress,Mild stress,Mild stress,Mild stress,Severe stress,Mild stress,None,E- describes me very well,E- describes me very well,A- does not describe me well,B,C,C,A- does not describe me well,E- describes me very well,D,D,E- describes me very well,C,E- describes me very well,A- does not describe me well,D,B,C,B,D,D,E- describes me very well,D,D,B,E- describes me very well,D,C,E- describes me very well,"Yes, 1-2 times per week","Yes, every other week","Yes, 3x per month or less",No,"Yes, 1-2 times per week",,"cooking, talking to family/friends",,Current second year,20-24,"NSGC region 3:3 Al,FL,GA,KY,LA,MS,NC,SC,TN",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,No,67,78,21,23,22,11
Participant 68,10/26/2022 16:42:38,10/26/2022 16:50:43,IP Address,100,485,TRUE,10/26/2022 16:50:44,R_PI2z4zjKDEOOPPb,anonymous,EN,0.800000012,"I consent, begin the study",2- Sometimes,4- Usually,4- Usually,4- Usually,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,4- Usually,3- Often,2- Sometimes,4- Usually,3- Often,3- Often,3- Often,4- Usually,1- Almost never,2- Sometimes,4- Usually,Severe stress,Mild stress,None,None,Severe stress,None,None,E- describes me very well,D,B,B,E- describes me very well,E- describes me very well,A- does not describe me well,D,E- describes me very well,D,D,A- does not describe me well,C,B,C,E- describes me very well,E- describes me very well,A- does not describe me well,C,E- describes me very well,E- describes me very well,E- describes me very well,E- describes me very well,C,D,E- describes me very well,C,D,No,No,"Yes, 1-2 times per week","Yes, 3x per month or less","Yes, 3+ times per week",,,"Watching TV shows, baking",Current first year,20-24,"NSGC region 3:3 Al,FL,GA,KY,LA,MS,NC,SC,TN",White,No,Female,Straight or Heterosexual,Single (never married),No,Yes,No,"Yes, 10-20 hours a week",56,93,24,25,21,19
Participant 69,10/26/2022 16:53:08,10/26/2022 16:59:56,IP Address,100,407,TRUE,10/26/2022 16:59:56,R_sAVn7bSY789PIBz,anonymous,EN,1,"I consent, begin the study",2- Sometimes,2- Sometimes,3- Often,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,1- Almost never,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,Mild stress,Mild stress,Moderate stress,Moderate stress,Mild Stress,Severe stress,None,B,D,B,B,D,B,B,C,D,D,D,B,C,B,B,A- does not describe me well,D,B,E- describes me very well,E- describes me very well,D,D,D,A- does not describe me well,B,E- describes me very well,B,D,"Yes, 3x per month or less","Yes, 1+ times per week","Yes, 1-2 times per week","Yes, 1-2 times per week","Yes, 1-2 times per week",,,,Current second year,25-29,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",White,No,Female,Straight or Heterosexual,Married,No,No,No,No,47,67,21,22,18,10
Participant 70,10/26/2022 16:57:31,10/26/2022 17:02:06,IP Address,100,274,TRUE,10/26/2022 17:02:07,R_1IY7GoWZ6feqPcu,anonymous,EN,0.899999976,"I consent, begin the study",1- Almost never,4- Usually,4- Usually,2- Sometimes,3- Often,2- Sometimes,3- Often,2- Sometimes,4- Usually,3- Often,4- Usually,2- Sometimes,3- Often,3- Often,2- Sometimes,3- Often,3- Often,4- Usually,1- Almost never,4- Usually,Moderate stress,Mild stress,Moderate stress,Moderate stress,Moderate stress,None,Mild stress,E- describes me very well,E- describes me very well,B,A- does not describe me well,E- describes me very well,A- does not describe me well,A- does not describe me well,D,B,C,E- describes me very well,A- does not describe me well,E- describes me very well,B,C,E- describes me very well,C,A- does not describe me well,E- describes me very well,E- describes me very well,D,C,E- describes me very well,A- does not describe me well,D,D,A- does not describe me well,D,"Yes, 1-2 times per week","Yes, 1x per month or less","Yes, 1-2 times per week",No,"Yes, 3+ times per week",,,sports,Current second year,25-29,"NSGC region 5: AZ, CO, MT, NM, TX, UT, WY, Alberta, Manitoba, Sask",White,No,Female,Straight or Heterosexual,Married,No,No,No,"Yes, 10-20 hours a week",65,74,23,22,21,4
Participant 71,10/26/2022 17:00:59,10/26/2022 17:08:07,IP Address,100,428,TRUE,10/26/2022 17:08:07,R_1IfSnqKMrAjBVfr,anonymous,EN,0.899999976,"I consent, begin the study",3- Often,2- Sometimes,3- Often,4- Usually,1- Almost never,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,4- Usually,2- Sometimes,3- Often,2- Sometimes,3- Often,3- Often,2- Sometimes,2- Sometimes,3- Often,Mild stress,Mild stress,None,None,Moderate stress,None,None,D,D,A- does not describe me well,A- does not describe me well,E- describes me very well,B,C,D,E- describes me very well,A- does not describe me well,D,A- does not describe me well,B,C,A- does not describe me well,D,B,A- does not describe me well,D,E- describes me very well,E- describes me very well,D,E- describes me very well,A- does not describe me well,E- describes me very well,E- describes me very well,A- does not describe me well,E- describes me very well,"Yes, 3x per month or less",No,"Yes, 1-2 times per week","Yes, 3x per month or less","Yes, 3+ times per week",,,"Reading, watching movies/TV",Current first year,20-24,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",White,No,Female,Straight or Heterosexual,Single (never married),No,No,No,No,43,80,22,24,23,6
Participant 72,10/26/2022 17:02:03,10/26/2022 17:09:16,IP Address,100,432,TRUE,10/26/2022 17:09:17,R_3HiRD8T73tqkweq,anonymous,EN,1,"I consent, begin the study",1- Almost never,4- Usually,4- Usually,2- Sometimes,4- Usually,1- Almost never,3- Often,1- Almost never,4- Usually,4- Usually,4- Usually,4- Usually,4- Usually,1- Almost never,4- Usually,1- Almost never,4- Usually,4- Usually,1- Almost never,4- Usually,Moderate stress,Mild stress,Severe stress,Moderate stress,Severe stress,None,None,D,D,A- does not describe me well,A- does not describe me well,C,E- describes me very well,B,E- describes me very well,E- describes me very well,E- describes me very well,D,A- does not describe me well,B,A- does not describe me well,A- does not describe me well,D,B,A- does not describe me well,B,D,D,E- describes me very well,E- describes me very well,C,B,D,C,E- describes me very well,No,No,"Yes, 3x per month or less",No,No,,,,Current second year,30-34,"NSGC region 1: CT,MA, ME,NH, RI, VT, CN Maritime Provinces",White,No,Female,Straight or Heterosexual,Single (never married),No,No,No,No,75,90,20,26,20,19
Participant 73,10/26/2022 17:13:56,10/26/2022 17:21:38,IP Address,100,462,TRUE,10/26/2022 17:21:39,R_1CkXESvkX6rOd5k,anonymous,EN,0.800000012,"I consent, begin the study",1- Almost never,3- Often,4- Usually,4- Usually,3- Often,2- Sometimes,2- Sometimes,3- Often,1- Almost never,2- Sometimes,2- Sometimes,4- Usually,2- Sometimes,4- Usually,2- Sometimes,4- Usually,2- Sometimes,1- Almost never,1- Almost never,3- Often,Moderate stress,Severe stress,Moderate stress,Severe stress,Mild Stress,None,Severe stress,D,D,A- does not describe me well,B,A- does not describe me well,E- describes me very well,B,D,D,C,E- describes me very well,C,A- does not describe me well,A- does not describe me well,B,A- does not describe me well,B,A- does not describe me well,A- does not describe me well,E- describes me very well,D,B,A- does not describe me well,C,C,A- does not describe me well,D,E- describes me very well,"Yes, 3x per month or less",No,"Yes, 3x per month or less",No,"Yes, 3+ times per week",,,Dog activities ,Current second year,25-29,"NSGC region 5: AZ, CO, MT, NM, TX, UT, WY, Alberta, Manitoba, Sask",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,"Yes, less than 10 hours a week",44,73,12,22,20,20
